day,deployments,Team,Service
2024-05-06 00:00:00.000000,43e59db5-be39-4105-988e-f7cdca667988,itcm,All Services
2024-04-08 00:00:00.000000,7e02efbf-ceba-4fd8-b54f-1ab3ebb2ebe6,itcm,All Services
2024-05-02 00:00:00.000000,549c7b80-c0fa-4ec1-a835-722f369f658b,itcm,All Services
2024-04-29 00:00:00.000000,e02a04f2-ebb6-49a1-b222-4dbce83a70a5,itcm,All Services
2024-02-23 00:00:00.000000,565bfa6c-f790-4b2a-b2d2-175dd5227cea,itcm,All Services
2024-05-16 00:00:00.000000,1960bd8f-ae33-4110-86fa-432af3a224b6,itcm,All Services
2023-09-26 00:00:00.000000,3b56b479-c468-4d7f-8510-3d38f7cb9eb7,cic,All Services
2024-01-12 00:00:00.000000,6c3bbf67-c636-4554-8d45-52f1959b3372,itcm,All Services
2024-01-16 00:00:00.000000,878c00c7-09aa-4a4b-bef3-e4abaf7e86b0,itcm,All Services
2024-05-07 00:00:00.000000,8cc21464-4acd-463e-a773-49d165844d06,itcm,All Services
2024-05-08 00:00:00.000000,2565f730-6347-4c85-a564-d58aaf1afe65,itcm,All Services
2024-01-17 00:00:00.000000,89ae0c62-8c1a-4691-b291-3d4a7e37e1f5,itcm,All Services
2024-05-07 00:00:00.000000,fd37f7f1-e802-4b3f-84b3-2da7e35fa66c,itcm,All Services
2023-12-28 00:00:00.000000,d7b6286a-79b5-4c70-b97d-38a6b8406a54,itcm,All Services
2024-02-20 00:00:00.000000,5cd58b0b-6408-4e5e-9db2-27c33897ee9a,itcm,All Services
2024-05-07 00:00:00.000000,90a7beee-7886-415f-ab96-3117ef62e187,itcm,All Services
2024-03-21 00:00:00.000000,b5aa6af5-16fe-4920-8840-c0c7f18a2790,itcm,All Services
2024-03-14 00:00:00.000000,de608aea-7e67-46c6-9a66-f27fbd31bc9c,itcm,All Services
2023-12-12 00:00:00.000000,93d9dd76-db86-4a2f-9da5-e7ee76715bf0,itcm,All Services
2024-05-07 00:00:00.000000,ee31b0bf-5973-47bc-980b-8bcd6a264948,itcm,All Services
2024-05-20 00:00:00.000000,2478c8b2-7b7d-46b8-a012-164a6bbe6a3e,itcm,All Services
2024-01-15 00:00:00.000000,a6e26ca7-559a-41bd-8159-ae9f47a1f3e6,itcm,All Services
2024-01-17 00:00:00.000000,0d9f6e4d-5e54-47dc-a8fc-6662889c08f2,itcm,All Services
2024-01-11 00:00:00.000000,09e4e632-4b77-459a-a454-493bf7bc5a41,itcm,All Services
2024-05-06 00:00:00.000000,db483378-9cfe-4a09-b6be-72cfcf5e98d8,itcm,All Services
2024-04-11 00:00:00.000000,025b7395-1ae3-4386-b5a4-198ce7322d61,itcm,All Services
2023-10-05 00:00:00.000000,48b16c11-527d-4bcb-9495-bcb11f28ca56,cic,All Services
2024-03-09 00:00:00.000000,a4c81ff7-be05-47cf-8979-d801ae9316bf,itcm,All Services
2023-12-06 00:00:00.000000,efb64597-8cf7-43c8-b934-54b43d3cae5a,itcm,All Services
2024-05-07 00:00:00.000000,b255d734-71fb-44b2-bd11-764db289ccca,itcm,All Services
2024-03-28 00:00:00.000000,7a13aa16-6472-4bdb-8d17-12f49817cb62,itcm,All Services
2023-11-30 00:00:00.000000,9e949a3c-e526-4baf-93a4-6253b9c62fd1,eureka,All Services
2023-11-08 00:00:00.000000,839583cc-3f66-4c7d-abfe-9a60a5041ebc,cic,All Services
