day,deployments,Team,Service
2024-05-07 00:00:00.000000,6508f95b-e508-4ad0-b807-e63d1d48f16b,itcm,agreement-masterdata
2024-04-04 00:00:00.000000,9324c9f4-d8fe-4304-8d08-0bc1725caac1,itcm,claims-backend
2023-12-27 00:00:00.000000,6714c69c-d66b-49bc-9eb1-254ab7c23a8e,itcm,claims-backend--afc52189
2024-01-03 00:00:00.000000,ad2dc5bf-083a-445a-97ab-2ab5eb9fb01f,itcm,agreement-search--3f05ae50
2023-12-27 00:00:00.000000,6dd02d1d-c474-4c73-90b0-789c2a4431b4,itcm,claims-submission-ui--d029fe24
2023-12-06 00:00:00.000000,f0f9c4a3-e3f8-4ea4-bc0f-99ddbbd1229a,itcm,agreement-masterdata
2024-01-04 00:00:00.000000,a82ef226-29a9-4843-9c08-0942955b9b01,itcm,agreement-masterdata
2024-05-01 00:00:00.000000,be1a1076-fa30-487d-9cbe-de5c7053f1f3,itcm,api-management-ui--fb7b31c1
2024-01-03 00:00:00.000000,2f2e1fee-a747-4fbf-9327-23372ed579d0,itcm,claims-backend--afc52189
2024-01-04 00:00:00.000000,9b31f711-8d05-4f1b-833a-b33ea6fad78c,itcm,claims-submission-ui--d029fe24
2023-12-27 00:00:00.000000,a8e32956-5ac1-4163-9b2e-97de5a339cc0,itcm,claims-backend
2024-01-04 00:00:00.000000,24e34096-6ee7-40f5-9b6b-dbe9d3560b26,itcm,agreement-masterdata--59e37975
2024-01-03 00:00:00.000000,fc34180f-f439-457a-a0c3-94767138db98,itcm,claims-submission-ui--309a6198
2024-01-04 00:00:00.000000,ee5ee3e8-76df-443b-bd8a-0d7622a7cabf,itcm,comment-ui--feed524c
2024-01-04 00:00:00.000000,fffb1db6-8a90-4356-b954-e035cf7ee859,itcm,agreement-search
2024-04-02 00:00:00.000000,4dbb9577-247f-4246-a1c0-aa5ffc5a8a3c,itcm,agreement-masterdata
2024-01-31 00:00:00.000000,087ec959-6627-4700-bdf2-cdbb4430c12d,itcm,claims-backend
2023-12-27 00:00:00.000000,50312291-8bee-482b-9249-8aa8bcc2d3bb,itcm,claims-submission-ui--309a6198
2023-11-17 00:00:00.000000,723b6fb5-a45d-49c2-9a6a-77ea4781c716,itcm,agreement-masterdata--1cd05173
2024-01-04 00:00:00.000000,fcf1f71e-9c85-4e3d-8837-2cb6b7c2e2bb,itcm,comment-ui--07935f4f
2024-04-15 00:00:00.000000,3ac2a289-677c-464c-9cc2-146095c39895,itcm,api-management
2024-03-27 00:00:00.000000,56a8e472-b15e-4e48-848f-849fec9a81a0,itcm,api-management
2024-04-05 00:00:00.000000,7c8d2f5c-8405-49b6-a9a3-e61c7d7087cb,itcm,agreement-masterdata
2023-11-30 00:00:00.000000,48863d8e-7aa4-4023-9d61-c896f1762d3b,itcm,agreement-masterdata--59e37975
2024-01-20 00:00:00.000000,95e5e72e-09f8-4cf0-bb1b-1993ac950d8d,itcm,agreement-masterdata
2023-12-13 00:00:00.000000,42a64e21-693c-4e46-85f4-2a2f1465a6c9,itcm,attachment-ng--38535df1
2023-11-29 00:00:00.000000,4e381c88-059e-4cfb-8bd9-326224d11d15,itcm,agreement-masterdata--59e37975
2024-01-03 00:00:00.000000,1cdb9cc8-d0f9-44c2-8d0a-210f0ddc5e1e,itcm,agreement-search--a2a7dafd
2024-01-19 00:00:00.000000,179ad8b4-ac46-4341-afb4-fbaacba41532,itcm,claims-backend--afc52189
2024-02-28 00:00:00.000000,5fdba011-fb62-463a-bf39-fb1951efa968,itcm,attachment-ng
2024-01-17 00:00:00.000000,d7c083b6-6962-463c-8e9c-bce7a33ee6d9,itcm,claims-submission-ui--309a6198
2024-05-07 00:00:00.000000,6f5f9303-5cac-4231-b2e9-e4a4b0962618,itcm,agreement-masterdata--59e37975
2024-04-22 00:00:00.000000,25356938-ddba-4578-bfb3-ec2db7221533,itcm,agreement-search
2023-12-07 00:00:00.000000,4cc20e5f-3076-40e1-bc04-4732102c84d3,itcm,attachment-ng--c32175a5
2024-04-27 00:00:00.000000,87cb588d-d7ff-419f-9956-43c3977a94f4,itcm,comment-ui
2024-03-27 00:00:00.000000,1cca0bab-b0fe-4eb5-8755-15d6016f6d65,itcm,claims-backend
2024-04-08 00:00:00.000000,8916f44d-f396-4bb5-a50d-c7c2964bef69,itcm,attachment-ng
2024-05-01 00:00:00.000000,ff62f250-e12b-49f6-bcc8-323e4de1ff2f,itcm,api-management-ui
2024-04-05 00:00:00.000000,edbdcf37-50c3-44a6-9975-ca568017730c,itcm,agreement-masterdata
2024-04-24 00:00:00.000000,b53e0160-818c-4810-aae2-ed3f31013c22,itcm,agreement-masterdata
2024-03-07 00:00:00.000000,313cb6cc-f534-428a-a5d9-d93169dcdccc,itcm,agreement-search
2024-01-20 00:00:00.000000,3158aa52-e074-496b-b373-b13baa28d2bc,itcm,agreement-masterdata
2024-04-11 00:00:00.000000,3f665a96-1f66-40a7-af89-d5acd83289ce,itcm,attachment-ng
2024-04-30 00:00:00.000000,d2884df3-d544-49f7-af2c-f34a160b6ab0,itcm,agreement-search
2024-03-21 00:00:00.000000,63d7bf1f-718a-4abc-af35-a06ccbc28108,itcm,agreement-search
2024-01-17 00:00:00.000000,839a3007-a7fb-490c-b442-20f534658737,itcm,comment-ui
2023-12-08 00:00:00.000000,e0d768cf-58ed-4aa5-87d6-6000ae4bd537,itcm,agreement-masterdata
2024-01-04 00:00:00.000000,c678e1a1-d824-4a60-912c-f746f6d93cda,itcm,claims-submission-ui--309a6198
2024-04-15 00:00:00.000000,2229e769-c1e6-4532-a54b-2ec174062b22,itcm,agreement-search
2024-01-03 00:00:00.000000,f346308d-137f-4325-89af-1db0ac1dc7e0,itcm,agreement-search
2024-01-19 00:00:00.000000,0a354516-508c-4897-a0c1-b8ea9068c11a,itcm,agreement-masterdata--1cd05173
2024-04-10 00:00:00.000000,2937274d-87ae-4b14-80a4-c43cb0f64c1c,itcm,claims-backend
2024-01-03 00:00:00.000000,9a9d3413-70fc-472c-b534-d400a968b579,itcm,claims-backend
2023-11-29 00:00:00.000000,eacaa71f-b74f-4f32-a54b-c8c773762e99,itcm,agreement-masterdata--1cd05173
2023-12-06 00:00:00.000000,ca039297-9632-4ad5-9916-129a5d2df2e9,itcm,api-management--1e2c252f
2024-03-27 00:00:00.000000,faf3c6a3-b355-4d88-94cd-5d4560540779,itcm,agreement-masterdata
2024-05-16 00:00:00.000000,12a5db9e-72c4-4968-b8d1-3412547a7522,itcm,attachment-ng
2023-12-01 00:00:00.000000,a2a3a24a-f825-4aeb-92fb-a866610d71c7,itcm,agreement-search--3f05ae50
2023-12-08 00:00:00.000000,40a8e57b-9e5e-457a-b15a-0239b0c85316,itcm,agreement-search--a2a7dafd
2024-05-08 00:00:00.000000,4ecb697c-46c7-41fd-98cc-1536c0b84ce2,itcm,api-management-ui--d3bef108
2024-02-23 00:00:00.000000,4fafb733-29c6-4a47-bc09-1bd50c7fbd04,itcm,api-management
2023-12-27 00:00:00.000000,584439f2-9147-46ee-ae9a-af0b270e6672,itcm,claims-backend--c3cc11bd
2024-03-13 00:00:00.000000,72546f60-1c89-45cc-8fdb-ffb70bca39ac,itcm,api-management
2024-01-20 00:00:00.000000,d27e4e4e-c4fe-4e36-9d91-876bf4117bbe,itcm,agreement-masterdata--1cd05173
2023-12-05 00:00:00.000000,f08516df-4a50-4900-930b-5f49e6d70e3e,itcm,attachment-ng--c32175a5
2023-12-13 00:00:00.000000,5b4c904b-ae02-48bb-bad4-64eb71c4e81e,itcm,attachment-ng--c32175a5
2023-12-06 00:00:00.000000,72f5f807-5e27-46c1-9c34-0f7f6e6c4c19,itcm,agreement-masterdata--59e37975
2024-04-05 00:00:00.000000,df41a8bf-a4f6-4d37-8626-1342068fd728,itcm,claims-backend
2024-05-10 00:00:00.000000,bda0e9f2-ad0c-4ff4-a153-8b58b72d3701,itcm,claims-submission-ui--d029fe24
2023-12-07 00:00:00.000000,4365d501-a743-4399-8548-7abf934283a8,itcm,attachment-ng--38535df1
2024-04-19 00:00:00.000000,e5540f15-8116-4384-a453-a5b5d00292b1,itcm,claims-backend
2024-02-23 00:00:00.000000,a2f806d7-0e8d-4191-a02a-7b931a7aa501,itcm,agreement-search
2024-04-10 00:00:00.000000,bd561628-10c2-4c02-9a46-80e61b069534,itcm,agreement-masterdata
2023-12-06 00:00:00.000000,efb64597-8cf7-43c8-b934-54b43d3cae5a,itcm,agreement-masterdata
2024-01-03 00:00:00.000000,2c2154a9-ce54-4876-99c8-221ec3c1f600,itcm,claims-backend--c3cc11bd
2024-03-27 00:00:00.000000,96a5a1b9-be5b-4b73-802e-104fc7cb7bd9,itcm,agreement-search
2024-01-03 00:00:00.000000,ce4e6606-a486-46fe-9e6e-1c76299e5e53,itcm,agreement-search--3f05ae50
2024-01-03 00:00:00.000000,206b8de6-b8c4-4505-a888-91123454cdd4,itcm,claims-submission-ui--d029fe24
2024-03-11 00:00:00.000000,b3b5059a-5fe0-48e5-a183-ee904d8bb304,itcm,agreement-search
2024-03-12 00:00:00.000000,294818dc-956a-4655-afda-f302e23a3ba4,itcm,claims-backend
2024-01-19 00:00:00.000000,b046b485-10aa-47c2-95a3-11c7fbbe3431,itcm,agreement-masterdata
2024-05-07 00:00:00.000000,9869bac4-aadb-4add-a920-d033682bb185,itcm,claims-backend
2024-04-24 00:00:00.000000,a912c0ba-f94f-4834-9382-f1146aecc656,itcm,api-management
2024-04-24 00:00:00.000000,2a5eba51-5e3a-44b7-9157-44441ef55366,itcm,attachment-ng
2024-01-17 00:00:00.000000,f0707817-5693-41e7-8fb6-2922b3b3bdae,itcm,comment-ui--feed524c
2024-05-07 00:00:00.000000,6ca1c9e2-0b2c-42f3-83af-35425bdb3ec6,itcm,agreement-search--3f05ae50
2023-12-12 00:00:00.000000,ef49f1e6-ccf0-4203-842e-53a5c93f775d,itcm,claims-backend--afc52189
2024-01-03 00:00:00.000000,fd29c801-c4a1-4514-aff9-ad7f40674a57,itcm,agreement-search--a2a7dafd
2024-05-07 00:00:00.000000,bfcdddcd-5c06-4545-af1e-35996049d837,itcm,claims-backend--afc52189
2024-05-08 00:00:00.000000,e1e15d94-f2c8-4207-aeac-48271199dd79,itcm,api-management-ui--fb7b31c1
2024-01-17 00:00:00.000000,49686f4b-38bf-4a5a-bd01-887dc8311ea1,itcm,api-management-ui--fb7b31c1
2024-05-08 00:00:00.000000,2fc910ed-a0c2-4f63-b49c-4fabb70e8fd0,itcm,claims-backend
2024-05-10 00:00:00.000000,69d5c6f6-0dd3-4225-9541-ddc77b63b607,itcm,claims-submission-ui--309a6198
2024-01-17 00:00:00.000000,36b505f0-c6ec-4b15-b535-c702b1abd8e4,itcm,claims-submission-ui--d029fe24
2023-11-29 00:00:00.000000,c35322ea-3ebf-4c3d-80a4-4a824671c5b1,itcm,agreement-masterdata--59e37975
2024-01-19 00:00:00.000000,58bc27ad-2c42-4969-9a3c-951ec7656656,itcm,claims-backend--c3cc11bd
2024-05-08 00:00:00.000000,bf88305d-4e69-45bb-b36f-0215f40ca3a5,itcm,claims-backend--c3cc11bd
2024-01-19 00:00:00.000000,645645ae-ff97-40ad-9bc1-f80a79ac9455,itcm,agreement-masterdata--59e37975
2024-04-30 00:00:00.000000,b9f489bd-ff2b-40b8-8100-015f3afb52d1,itcm,api-management-ui
2024-05-07 00:00:00.000000,e7860021-43ed-4145-a55c-1018f51a36a8,itcm,api-management-ui--d3bef108
2024-01-20 00:00:00.000000,1e80be8b-61ec-4886-841c-9dc72c1632ee,itcm,agreement-masterdata--1cd05173
2024-04-08 00:00:00.000000,5cbca80b-eb3d-40ed-b1bd-c5a11e846ad9,itcm,attachment-ng
2024-01-20 00:00:00.000000,142770be-8ecf-4333-999a-01df905b0336,itcm,agreement-masterdata--59e37975
2024-01-03 00:00:00.000000,e2a6d3a5-73f9-4e8b-b6d1-4847da3b3c88,itcm,agreement-search
2024-01-03 00:00:00.000000,afef015f-acd0-4ae2-bf2a-c7a7ec76e5fe,itcm,api-management--1e2c252f
2024-03-12 00:00:00.000000,c31f4da7-076a-4763-9c0b-85c6cf9870a6,itcm,agreement-masterdata
2024-01-19 00:00:00.000000,348d3252-5c5c-48bd-902e-63e973b880b1,itcm,agreement-masterdata
2024-05-08 00:00:00.000000,8d65c1f8-f877-4cad-a8e3-9a0b95781d4e,itcm,claims-submission-ui--309a6198
2024-05-07 00:00:00.000000,b0b39dcc-4957-49e9-a62c-8ce9b8017098,itcm,claims-backend--c3cc11bd
2024-04-30 00:00:00.000000,68eb34ce-64e5-46bd-a97e-f8d6e1250c85,itcm,api-management
2024-01-20 00:00:00.000000,1be05b30-4fa6-4c01-b6ad-38894a2ed256,itcm,agreement-masterdata
2024-01-20 00:00:00.000000,01a5b3fc-8737-42d9-b612-7936028eea3f,itcm,agreement-masterdata--59e37975
2024-03-11 00:00:00.000000,a49f2c31-8023-49b7-be6f-70b2bd134fb2,itcm,attachment-ng
2024-05-07 00:00:00.000000,ec214471-a135-4274-829d-6166624c26d4,itcm,agreement-search--a2a7dafd
2024-04-23 00:00:00.000000,80f2af92-9185-4ff3-b177-da8be232b703,itcm,attachment-ng
2024-01-20 00:00:00.000000,a170ba0b-9635-4823-ab4e-ac5eb21a473a,itcm,agreement-masterdata--1cd05173
2024-02-27 00:00:00.000000,9ba38b50-82f6-4152-8998-727517b5d453,itcm,attachment-ng
2023-11-17 00:00:00.000000,0e0218aa-e37f-4f18-a155-be4a9eafe784,itcm,agreement-masterdata--1cd05173
2024-03-20 00:00:00.000000,49a3f8d6-619b-498d-af1c-12ea45b6625a,itcm,agreement-search
2024-05-08 00:00:00.000000,abfb303f-5d67-4953-9565-84c71ec6c8c6,itcm,claims-backend--afc52189
2024-02-23 00:00:00.000000,6e5f8d91-4edd-48e3-9eca-6e046031d2cf,itcm,claims-backend
2024-03-20 00:00:00.000000,24cfc4cb-4c35-44c8-99f4-829f1002595f,itcm,agreement-search
2024-05-07 00:00:00.000000,90a7beee-7886-415f-ab96-3117ef62e187,itcm,api-management-ui--fb7b31c1
2023-12-06 00:00:00.000000,9753c729-c63d-451f-b58d-ccdde1d7c23c,itcm,api-management--dbbe9028
2024-04-15 00:00:00.000000,274f62f8-42fc-459f-8c95-8e7f163fbc56,itcm,attachment-ng
2024-04-30 00:00:00.000000,370496f4-f03d-4898-ba05-7842b1d27116,itcm,claims-backend
2024-02-26 00:00:00.000000,3cb3af6d-3de7-4ead-9adb-6e8815892b6f,itcm,claims-backend
2023-12-06 00:00:00.000000,d16b721f-a951-4c9c-9b8a-38f2f82d1fcf,itcm,agreement-masterdata--59e37975
2024-03-06 00:00:00.000000,08fa1336-0964-47c4-b72a-0a07192469cf,itcm,claims-backend
2023-12-01 00:00:00.000000,b03f63cf-fbba-44e8-a964-ca55f01ce536,itcm,agreement-search
2024-01-19 00:00:00.000000,198c8105-52e0-45c5-9374-a63487584f21,itcm,agreement-masterdata--59e37975
2024-01-17 00:00:00.000000,1a8a8155-f602-4194-8bc0-759dd1865307,itcm,claims-submission-ui--d029fe24
2024-03-22 00:00:00.000000,edb90552-9193-41d9-8de9-31ddf3970009,itcm,claims-backend
2024-05-08 00:00:00.000000,54858161-b389-4f35-8956-c292fff8279c,itcm,claims-submission-ui--d029fe24
2024-04-20 00:00:00.000000,b4a81638-3ae4-4da9-9f53-baf4e9a3ad2e,itcm,claims-backend
2023-12-07 00:00:00.000000,5d632b18-3696-40e2-9868-c9ea3d7b31e1,itcm,comment-ui--07935f4f
2024-02-26 00:00:00.000000,95a7e9c0-386c-480a-bf6e-dddff3875a2e,itcm,agreement-masterdata
2024-01-04 00:00:00.000000,15847e6f-bf89-4758-88a0-21c9b5a72554,itcm,claims-submission-ui--d029fe24
2024-02-29 00:00:00.000000,89638bcb-b8fa-4a38-95ba-ebc1397e7125,itcm,comment-ui
2023-12-12 00:00:00.000000,c99d0578-1fa0-4db1-af0d-65d8572fa0c0,itcm,claims-backend--c3cc11bd
2024-04-11 00:00:00.000000,edf66c56-b6f4-4bd0-a635-5f5803d2b430,itcm,agreement-search
2024-04-09 00:00:00.000000,61b92355-d447-459a-9a3e-684c09de331a,itcm,claims-backend
2023-12-07 00:00:00.000000,9f251e39-9708-4970-9846-93be302d254e,itcm,comment-ui--07935f4f
2023-12-12 00:00:00.000000,a6c7f016-5be5-46a9-ba2f-3caf2b1480e6,itcm,claims-backend
2024-05-01 00:00:00.000000,d3f1a372-de8c-402d-b51b-c7f56786bd66,itcm,agreement-search
2024-02-20 00:00:00.000000,552d323f-8134-42d3-a1d3-af5255f44cd7,itcm,claims-backend
2024-04-23 00:00:00.000000,3e1d8568-62f3-453b-ad38-eb06156c0419,itcm,agreement-search
2024-05-07 00:00:00.000000,709d64f0-4e82-4e74-a7b0-09fbf2096617,itcm,agreement-masterdata
2024-05-16 00:00:00.000000,1296e274-7790-453d-b2ee-43702f22eb90,itcm,attachment-ng--c32175a5
2024-05-07 00:00:00.000000,3cb2f212-d294-48aa-be53-c35440faf479,itcm,agreement-search
2023-12-08 00:00:00.000000,f68b6134-b240-463e-8847-da88cbb16db3,itcm,agreement-masterdata--59e37975
